gene_id,cluster,Dmel,Dmel_gene,Dmel_function,nr,uni_sprot,Description,Preferred_name,PFAMs
Dnig.2LG0005370.1,2,FBpp0307371,FASN1,Fatty acid synthase 1,CAD7206325.1,sp|P19096|FAS_MOUSE,fatty acid synthase,FASN,"ADH_zinc_N,Acyl_transf_1,KAsynt_C_assoc,KR,Ketoacyl-synt_C,Methyltransf_12,PP-binding,PS-DH,Thioesterase,ketoacyl-synt"
Dnig.2LG0005400.1,7,FBpp0307371,FASN1,Fatty acid synthase 1,QNU13193.1,sp|P19096|FAS_MOUSE,Polyketide synthase dehydratase,FASN,"ADH_zinc_N,Acyl_transf_1,KAsynt_C_assoc,KR,Ketoacyl-synt_C,Methyltransf_12,PP-binding,PS-DH,Thioesterase,ketoacyl-synt"
Dnig.2LG0005480.1,15,FBpp0077343,FASN1,Fatty acid synthase 1,QCW07582.1,sp|P49327|FAS_HUMAN,activity. It is involved in the biological process described with,FASN,"ADH_zinc_N,Acyl_transf_1,KAsynt_C_assoc,KR,Ketoacyl-synt_C,Methyltransf_12,PP-binding,PS-DH,Thioesterase,ketoacyl-synt"
Dnig.2LG0005490.1,6,FBpp0077343,FASN1,Fatty acid synthase 1,QNU13193.1,sp|P19096|FAS_MOUSE,activity. It is involved in the biological process described with,FASN,"ADH_zinc_N,Acyl_transf_1,KAsynt_C_assoc,KR,Ketoacyl-synt_C,Methyltransf_12,PP-binding,PS-DH,Thioesterase,ketoacyl-synt"
Dnig.2LG0005550.1,16,FBpp0077343,FASN1,Fatty acid synthase 1,QNU13193.1,sp|P12785|FAS_RAT,catalytic activity,-,"ADH_zinc_N,Acyl_transf_1,KAsynt_C_assoc,KR,Ketoacyl-synt_C,PP-binding,PS-DH,Thioesterase,ketoacyl-synt"
Dnig.2LG0005590.1,6,FBpp0077343,FASN1,Fatty acid synthase 1,QNU13193.1,sp|P19096|FAS_MOUSE,activity. It is involved in the biological process described with,FASN,"ADH_zinc_N,Acyl_transf_1,KAsynt_C_assoc,KR,Ketoacyl-synt_C,Methyltransf_12,PP-binding,PS-DH,Thioesterase,ketoacyl-synt"
Dnig.2LG0005600.1,16,FBpp0305029,CG16789,No description,CAD7392179.1,sp|Q86XH1|DRC11_HUMAN,ATP- binding,IQCA1,"AAA,IQ"
Dnig.2LG0005620.1,4,FBpp0082742,CG14883,No description,CAD7199964.1,sp|Q9NZC3|GDE1_HUMAN,Glycerophosphodiester phosphodiesterase activity. It is involved in the biological process described with,GDE1,GDPD
Dnig.2LG0005630.1,8,,,,CAD7435917.1,sp|Q9W740|NOGG2_DANRE,Noggin,NOG,Noggin
Dnig.2LG0005640.1,18,,,,CAD7586779.1,sp|Q9W740|NOGG2_DANRE,Noggin,NOG,Noggin
Dnig.2LG0005650.1,9,FBpp0309809,CG10338,No description,XP_023723951.1,sp|Q91W34|RUSF1_MOUSE,UPF0420 protein C16orf58,C16orf58,DUF647
Dnig.2LG0005660.1,3,FBpp0080648,CG10343,No description,XP_021922651.1,sp|Q6NW29|RWDD4_HUMAN,RWD domain-containing protein,RWDD4,RWD
Dnig.2LG0005730.1,8,FBpp0292925,d,dachs,CAD7426352.1,sp|Q9U1M8|MYOI_DICDI,Myosin. Large ATPases.,Myo20,"IQ,Myosin_head"
Dnig.2LG0005760.1,20,FBpp0076383,CG6983,No description,GFG33072.1,sp|Q2KIM1|CT027_BOVIN,Domain of unknown function (DUF4517),-,DUF4517
Dnig.2LG0005770.1,10,,,,CAD7428683.1,sp|Q6PK18|OGFD3_HUMAN,2-oxoglutarate and iron-dependent oxygenase domain-containing protein 3-like,OGFOD3,2OG-FeII_Oxy_3
Dnig.2LG0005790.1,10,FBpp0075816,CG5964,No description,CAD7395037.1,sp|A2A870|FBF1_MOUSE,,,
Dnig.2LG0005830.1,7,,,,,,,,
Dnig.2LG0005960.1,8,FBpp0110220,Eip63E,Ecdysone-induced protein 63E,XP_023722117.1,sp|O94921|CDK14_HUMAN,"Serine/Threonine protein kinases, catalytic domain",CDK14,Pkinase
Dnig.2LG0005970.1,17,FBpp0072585,Psa,Puromycin sensitive aminopeptidase,XP_021928259.1,sp|P55786|PSA_HUMAN,zinc ion binding. It is involved in the biological process described with proteolysis,NPEPPS,"ERAP1_C,Peptidase_M1"
Dnig.2LG0005980.1,14,FBpp0087314,CG7220,No description,XP_021923551.1,sp|Q28FC1|UBE2W_XENTR,Belongs to the ubiquitin-conjugating enzyme family,UBE2W,UQ_con
Dnig.2LG0005990.1,8,FBpp0311952,CG15743,No description,XP_021923540.1,sp|Q9VYF2|IMPA3_DROME,It is involved in the biological process described with phosphatidylinositol phosphorylation,IMPAD1,Inositol_P
Dnig.2LG0006020.1,16,,,,,,,,
Dnig.2LG0006040.1,9,FBpp0079847,crol,crooked legs,,sp|P17141|ZFP37_MOUSE,,,
Dnig.2LG0006090.1,17,FBpp0304443,dbo,diablo,GFG35180.1,sp|Q8VCK5|KLH20_MOUSE,substrate-specific adapter of an E3 ubiquitin- protein ligase complex which mediates the ubiquitination and subsequent proteasomal degradation of target proteins. May have a role in synapse differentiation and growth (By similarity),-,"BACK,BTB,Kelch_1"
Dnig.2LG0006120.1,20,FBpp0077839,kin17,kin17,GFG37367.1,sp|Q8K339|KIN17_MOUSE,Domain of Kin17 curved DNA-binding protein,KIN,Kin17_mid
Dnig.2LG0006130.1,19,FBpp0085564,rig,rigor mortis,XP_021939290.1,sp|Q8BX17|GEMI5_MOUSE,,,
Dnig.2LG0006140.1,4,FBpp0074500,RpS10b,Ribosomal protein S10b,AGM32087.1,sp|Q962R9|RS10_SPOFR,40S ribosomal protein,RPS10,S10_plectin
Dnig.2LG0006160.1,17,FBpp0086821,arr,arrow,CAD7592990.1,sp|O88572|LRP6_MOUSE,Coagulation Factor Xa inhibitory site,LRP6,"FXa_inhibition,Ldl_recept_a,Ldl_recept_b"
Dnig.2LG0006260.1,14,FBpp0085595,CG8929,No description,XP_023706388.1,,NF-kappa-B-activating protein,-,"DUF3669,NKAP"
Dnig.2LG0006270.1,9,FBpp0074554,mRpS14,mitochondrial ribosomal protein S14,XP_016949528.1,sp|Q6B860|RT14_BOVIN,Structural constituent of ribosome. It is involved in the biological process described with translation,MRPS14,Ribosomal_S14
Dnig.2LG0006340.1,17,,,,,,,,
Dnig.2LG0006350.1,10,,,,ALX00060.1,,,,
Dnig.2LG0006360.1,15,FBpp0309954,CG10904,No description,XP_031327792.1,,Alcohol dehydrogenase transcription factor Myb/SANT-like,-,MADF_DNA_bdg
Dnig.2LG0006370.1,18,,,,CAG2238694.1,,DDE superfamily endonuclease,-,DDE_Tnp_4
Dnig.2LG0006380.1,17,FBpp0074554,mRpS14,mitochondrial ribosomal protein S14,XP_016949528.1,sp|Q6B860|RT14_BOVIN,Structural constituent of ribosome. It is involved in the biological process described with translation,MRPS14,Ribosomal_S14
Dnig.2LG0006390.1,20,FBpp0073083,pav,pavarotti,KAE8749977.1,sp|P97329|KI20A_MOUSE,Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family,kinesin-A,Kinesin
Dnig.2LG0006400.1,17,,,,CAD7455615.1,sp|Q5EAR6|CC115_DANRE,,,
Dnig.2LG0006410.1,10,,,,CAD7575134.1,,,,
Dnig.2LG0006420.1,10,FBpp0073142,Claspin,Claspin,XP_033606804.1,sp|Q8IRB5|CLSPN_DROME,,,
Dnig.2LG0006430.1,20,FBpp0081725,Rrp46,Rrp46,XP_023712969.1,sp|Q9CRA8|EXOS5_MOUSE,Exosome complex component,EXOSC5,"RNase_PH,RNase_PH_C"
Dnig.2LG0006470.1,16,,,,XP_042901798.1,sp|O02751|CFDP2_BOVIN,Reverse transcriptase (RNA-dependent DNA polymerase),-,-
Dnig.2LG0006530.1,13,FBpp0113022,Urm1,Ubiquitin-related modifier 1,XP_034256031.1,sp|Q9D2P4|URM1_MOUSE,Ubiquitin related modifier 1,URM1,Urm1
Dnig.2LG0006540.1,5,FBpp0077357,okr,okra,XP_021937771.1,sp|Q9Y620|RA54B_HUMAN,DNA repair and recombination protein,RAD54B,"Helicase_C,SNF2_N"
Dnig.2LG0006550.1,10,FBpp0072484,Dci,Dodecenoyl-CoA delta-isomerase,KAF8770840.1,sp|Q5XIC0|ECI2_RAT,catalytic activity. It is involved in the biological process described with metabolic process,ECI2,"ACBP,ECH_1"
Dnig.2LG0006560.1,2,FBpp0077914,HIPP1,HP1 and insulator partner protein 1,XP_023701980.1,sp|Q9WTK2|CDYL_MOUSE,catalytic activity. It is involved in the biological process described with metabolic process,-,"Chromo,ECH_1"
Dnig.2LG0006620.1,17,FBpp0083931,Tsc1,Tsc1,XP_021915929.1,sp|Q92574|TSC1_HUMAN,Hamartin protein,TSC1,Hamartin
Dnig.2LG0006630.1,5,FBpp0111291,CG34183,No description,XP_023714998.1,sp|Q5I0E6|RPAP2_RAT,RNA polymerase II subunit B1 CTD phosphatase,RPAP2,RPAP2_Rtr1
Dnig.2LG0006640.1,5,FBpp0073085,CG1309,No description,XP_023723163.2,sp|Q4R8P0|ABHGA_MACFA,alpha/beta hydrolase fold,ABHD16A,Abhydrolase_1
Dnig.2LG0006650.1,16,FBpp0083920,CG5986,No description,KAG8230860.1,sp|Q7T293|SDE2_DANRE,Trypsin-like serine protease,-,"Telomere_Sde2,Trypsin"
Dnig.2LG0006670.1,18,,,,CAF4955953.1,,-,-,-
Dnig.2LG0006680.1,10,FBpp0304186,CG14182,No description,PSN32649.1,sp|Q6GR34|CP52A_XENLA,negative regulation of smoothened signaling pathway,C16orf52,L_HMGIC_fpl
Dnig.2LG0006690.1,18,FBpp0077929,CG3618,No description,XP_023701994.1,sp|Q8BYI8|F234B_MOUSE,-,-,-
Dnig.2LG0006700.1,8,FBpp0289762,Pka-R1,"Protein kinase, cAMP-dependent, regulatory subunit type 1",XP_023701998.1,sp|P16905|KAPR1_DROME,Cyclic nucleotide-monophosphate binding domain,PRKAR1A,"RIIa,cNMP_binding"
Dnig.2LG0006710.1,18,,,,XP_021937872.1,,-,-,-
Dnig.2LG0006720.1,8,FBpp0290924,CG6700,No description,XP_021937853.1,sp|Q32NW2|LENG8_XENLA,Leukocyte receptor cluster,LENG8,SAC3_GANP
Dnig.2LG0006730.1,1,FBpp0301687,b,black,XP_021937855.1,sp|Q9Y600|CSAD_HUMAN,carboxy-lyase activity. It is involved in the biological process described with carboxylic acid metabolic process,GADL1,Pyridoxal_deC
Dnig.2LG0006750.1,17,FBpp0290558,HERC2,HECT and RLD domain containing protein 2,XP_023713900.1,sp|Q4U2R1|HERC2_MOUSE,metal ion binding. It is involved in the biological process described with protein ubiquitination,HERC2,"ANAPC10,Cul7,Cyt-b5,HECT,MIB_HERC2,RCC1,ZZ"
Dnig.2LG0006760.1,11,FBpp0293201,N,Notch,XP_023724292.1,sp|P07207|NOTCH_DROME,NODP,NOTCH1,"Ank,Ank_2,Ank_4,Ank_5,DUF3454,EGF,EGF_CA,NOD,NODP,Notch,hEGF"
Dnig.2LG0006810.4,1,FBpp0306981,C3G,C3G guanyl-nucleotide exchange factor,XP_021938385.1,sp|O77086|C3G_DROME,Guanyl-nucleotide exchange factor activity. It is involved in the biological process described with regulation of small GTPase mediated signal transduction,RAPGEF1,"RasGEF,RasGEF_N"
Dnig.2LG0006820.1,7,FBpp0070997,CG3040,No description,PSN45158.1,sp|Q8N9N7|LRC57_HUMAN,Leucine-rich repeat-containing protein,LRRC57,"LRR_1,LRR_4,LRR_8"
Dnig.2LG0006830.1,14,FBpp0085914,Pcl,Polycomblike,XP_023724297.1,sp|Q02395|MTF2_MOUSE,Zinc ion binding,PHF19,"Mtf2_C,PHD"
Dnig.2LG0006850.1,19,,,,XP_034256279.1,,,,
Dnig.2LG0006880.1,19,FBpp0309483,CG8611,No description,GFG29923.1,sp|Q86B47|Y8611_DROME,RNA helicase,DDX31,"DEAD,DUF4217,Helicase_C"
Dnig.2LG0006940.1,14,,,,,,,,
Dnig.2LG0006950.1,6,,,,,,,,
Dnig.2LG0006960.1,8,FBpp0081088,Sas-4,Spindle assembly abnormal 4,GFG37239.1,sp|Q569L8|CENPJ_MOUSE,,,
Dnig.2LG0006970.1,7,FBpp0086431,Diap2,Death-associated inhibitor of apoptosis 2,XP_021938291.1,sp|Q24307|DIAP2_DROME,Zinc ion binding,BIRC2,"BIR,CARD,zf-C3HC4_3"
Dnig.2LG0006980.1,11,,,,PSN48031.1,,,,
Dnig.2LG0007000.1,7,FBpp0305793,Diap1,Death-associated inhibitor of apoptosis 1,CAD7587023.1,sp|P41437|IAP3_NPVOP,apoptosis,IAP1,"BIR,zf-C3HC4_3"
Dnig.2LG0007040.1,19,FBpp0082589,Art3,Arginine methyltransferase 3,CAD7260629.1,sp|O60678|ANM3_HUMAN,Belongs to the class I-like SAM-binding methyltransferase superfamily. Protein arginine N- methyltransferase family,PRMT3,"Methyltransf_25,PrmA"
Dnig.2LG0007050.1,4,FBpp0089324,shd,shade,AVL92826.1,sp|Q9VUF8|CP314_DROME,Cytochrome P450,Cyp314a1,p450
Dnig.2LG0007060.1,2,FBpp0076635,msl-3,male-specific lethal 3,XP_023713542.1,sp|Q8N5Y2|MS3L1_HUMAN,MRG,MSL3,"MRG,Tudor-knot"
Dnig.2LG0007070.2,14,FBpp0082666,CG5516,No description,PNF27674.1,sp|Q9CX48|ZCH10_MOUSE,Zinc knuckle,ZCCHC10,zf-CCHC_3
Dnig.2LG0007170.1,5,,,,,,,,
Dnig.2LG0007190.1,3,FBpp0072050,Taldo,Transaldolase,AVA17413.1,sp|Q9EQS0|TALDO_RAT,Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway,TALDO1,TAL_FSA
Dnig.2LG0007210.1,4,FBpp0075764,RpL10Ab,Ribosomal protein L10Ab,PSN57249.1,sp|Q963B6|RL10A_SPOFR,RNA binding. It is involved in the biological process described with,RPL10A,Ribosomal_L1
Dnig.2LG0007220.1,20,FBpp0303418,Ptp10D,Protein tyrosine phosphatase 10D,PNF39795.1,sp|P23467|PTPRB_HUMAN,Protein tyrosine phosphatase activity. It is involved in the biological process described with protein dephosphorylation,-,"Y_phosphatase,fn3"
Dnig.2LG0007240.1,9,,,,KAG5679537.1,,ISXO2-like transposase domain,-,DDE_Tnp_IS1595
Dnig.2LG0007250.1,5,,,,GFG41028.1,,,,
Dnig.2LG0007300.1,7,FBpp0307977,CG3999,No description,XP_023722979.1,sp|Q91W43|GCSP_MOUSE,The glycine cleavage system catalyzes the degradation of glycine,GLDC,GDC-P
Dnig.2LG0007310.1,17,,,,BBG28466.1,sp|Q9H0E2|TOLIP_HUMAN,CUE domain,TOLLIP,"C2,CUE"
Dnig.2LG0007320.1,5,FBpp0305469,bab2,bric a brac 2,XP_033606087.1,sp|Q9W0K4|BAB2_DROME,high mobility group,-,HMG_box
Dnig.2LG0007330.1,2,FBpp0079073,muc,midline uncoordinated,CAB3386432.1,sp|P22439|ODPX_BOVIN,e3 binding domain,PDHX,"2-oxoacid_dh,Biotin_lipoyl,E3_binding"
Dnig.2LG0007360.1,4,FBpp0300193,RSG7,Regulator of G-protein signaling 7,XP_023706484.1,sp|O46470|RGS7_BOVIN,signal transducer activity. It is involved in the biological process described with intracellular signal transduction,RGS7,"DEP,G-gamma,RGS"
Dnig.2LG0007370.1,17,FBpp0085442,Bap170,Brahma associated protein 170kD,XP_021925461.1,sp|Q68CP9|ARID2_HUMAN,zinc finger,ARID2,"ARID,RFX_DNA_binding"
Dnig.2LG0007400.1,6,FBpp0070952,CG3224,No description,XP_026481961.1,sp|B0BLT0|ZN593_XENTR,Zinc-finger double-stranded RNA-binding,ZNF593,zf-C2H2_jaz
Dnig.2LG0007460.1,6,FBpp0300193,RSG7,Regulator of G-protein signaling 7,XP_023706484.1,sp|O46470|RGS7_BOVIN,signal transducer activity. It is involved in the biological process described with intracellular signal transduction,RGS7,"DEP,G-gamma,RGS"
Dnig.2LG0007490.1,5,FBpp0071023,Atg5,Autophagy-related 5,XP_021937329.1,sp|Q9H1Y0|ATG5_HUMAN,Involved in autophagic vesicle formation,ATG5,APG5
Dnig.2LG0007500.1,4,FBpp0293162,Spn,Spinophilin,XP_021929347.1,sp|Q9ULJ8|NEB1_HUMAN,protein phosphatase 1 regulatory,PPP1R9A,"PDZ,SAM_1,SAM_2"
Dnig.2LG0007520.1,10,FBpp0075632,MICAL-like,MICAL-like,XP_023714405.1,sp|Q8IY33|MILK2_HUMAN,Rab GTPase binding. It is involved in the biological process described with endocytic recycling,MICALL1,"CH,DUF3585,LIM"
Dnig.2LG0007530.1,2,FBpp0074446,CG7889,No description,PSN43170.1,sp|Q1JPJ9|EF2KT_BOVIN,"Family with sequence similarity 86, member A",FAM86A,"FAM86,Methyltransf_16"
Dnig.2LG0007540.1,10,FBpp0086043,Hyccin,Hyccin,XP_023715196.1,sp|Q6P121|HYCCI_DANRE,Hyccin,FAM126B,Hyccin
Dnig.2LG0007550.1,6,FBpp0072744,dre4,dre4,CAD7399556.1,sp|Q8IRG6|SPT16_DROME,FACT complex subunit,SUPT16H,"FACT-Spt16_Nlob,Peptidase_M24,Rtt106,SPT16"
Dnig.2LG0007560.1,2,FBpp0305462,S6k,Ribosomal protein S6 kinase,GFG40112.1,sp|P67998|KS6B1_RABIT,protein serine threonine kinase activity. It is involved in the biological process described with protein phosphorylation,RPS6KB2,"Pkinase,Pkinase_C"
Dnig.2LG0007570.1,10,,,,XP_034241738.1,,,,
Dnig.2LG0007590.1,8,FBpp0077706,Pkg21D,"Protein kinase, cGMP-dependent at 21D",PNF26488.1,sp|Q03042|KGP1_DROME,It is involved in the biological process described with,Sur,"ABC_membrane,ABC_tran"
Dnig.2LG0007670.1,1,FBpp0308248,CG44249,No description,XP_021923507.1,sp|F1Q8J0|RNPC3_DANRE,nucleic acid binding,RNPC3,RRM_1
Dnig.2LG0007680.1,20,FBpp0073074,CG18675,No description,XP_023708962.1,sp|A0A1L8HCK2|C298A_XENLA,Protein of unknown function (DUF2870),C21orf59,DUF2870
Dnig.2LG0007690.1,16,FBpp0073126,Chd64,Chd64,XP_023702331.1,sp|Q24799|MYPH_ECHGR,Calponin family repeat,TAGLN3,"CH,Calponin"
Dnig.2LG0007700.1,5,FBpp0082438,CG7987,No description,XP_021937173.1,sp|P10077|ZFP27_MOUSE,Metal ion binding,-,"zf-C2H2,zf-C2H2_4,zf-C2H2_6"
Dnig.2LG0007710.1,17,,,,XP_021937185.1,sp|Q6GV29|B3GNL_RAT,"UDP-GlcNAc betaGal beta-1,3-N-acetylglucosaminyltransferase-like protein",B3GNTL1,Glycos_transf_2
Dnig.2LG0007720.1,17,FBpp0083126,NP15.6,NP15.6,CAG4981057.1,sp|Q8HXG5|NDUBB_BOVIN,ESSS subunit of NADH:ubiquinone oxidoreductase (complex I),NDUFB11,ESSS
Dnig.2LG0007730.1,18,FBpp0074664,Grasp65,Grasp65,GFG35479.1,sp|Q99JX3|GORS2_MOUSE,GRASP55/65 PDZ-like domain,GORASP1,GRASP55_65
Dnig.2LG0007740.1,18,FBpp0099494,pug,pugilist,CAD7456254.1,sp|O96553|C1TC_DROME,methylenetetrahydrofolate dehydrogenase (NADP ) activity. It is involved in the biological process described with folic acid-containing compound biosynthetic process,MTHFD1L,"FTHFS,THF_DHG_CYH,THF_DHG_CYH_C"
Dnig.2LG0007800.1,5,,,,,,,,
Dnig.2LG0007850.1,16,FBpp0086282,CG9068,No description,XP_044271579.1,sp|P0C6F1|DYH2_MOUSE,,,
Dnig.2LG0007900.1,17,FBpp0290710,osp,outspread,XP_021934170.1,sp|Q27421|OSP_DROME,PH domain,MPRIP,PH
Dnig.2LG0007940.1,14,FBpp0072711,CG12091,No description,PNF20487.1,sp|Q5U3N5|PPTC7_DANRE,Catalytic activity,PPTC7,SpoIIE
Dnig.2LG0007950.1,20,FBpp0072711,CG12091,No description,XP_023720323.1,sp|Q6GR25|PPTC7_XENLA,Catalytic activity,PPTC7,SpoIIE
Dnig.2LG0007960.1,5,FBpp0088669,CG18004,No description,XP_021942205.1,sp|Q29RS4|IN80E_BOVIN,chromatin remodeling,ino80e,-
Dnig.2LG0007970.1,3,FBpp0082980,MED17,Mediator complex subunit 17,CAD7429685.1,sp|Q9VEC1|MED17_DROME,RNA polymerase II transcription cofactor activity. It is involved in the biological process described with regulation of transcription from RNA polymerase II promoter,MED17,Med17
Dnig.2LG0008010.1,9,FBpp0084520,CG6277,No description,XP_015588417.1,sp|Q8WWY8|LIPH_HUMAN,,,
Dnig.2LG0008030.1,1,,,,,,,,
Dnig.2LG0008060.1,3,FBpp0080489,glu,gluon,XP_021916757.1,sp|P50532|SMC4_XENLA,Structural maintenance of chromosomes protein,SMC4,"SMC_N,SMC_hinge"
Dnig.2LG0008080.1,13,FBpp0310037,Sirup,Starvation-upregulated protein,PNF18033.1,sp|Q9VLU6|SDHF4_DROME,Protein of unknown function (DUF1674),-,DUF1674
Dnig.2LG0008090.1,4,FBpp0099990,RpS13,Ribosomal protein S13,AGM32421.1,sp|P62278|RS13_RAT,Belongs to the universal ribosomal protein uS15 family,RPS13,"Ribosomal_S13_N,Ribosomal_S15"
Dnig.2LG0008100.1,4,,,,PNF31014.1,,-,-,-
Dnig.2LG0008110.1,1,FBpp0073431,pot,papillote,XP_023724850.1,,-,pot,Zona_pellucida
Dnig.2LG0008120.1,7,FBpp0083988,BRWD3,BRWD3,XP_021938280.1,sp|Q8VDD9|PHIP_MOUSE,Bromodomain and WD repeat-containing protein,BRWD3,"Bromodomain,WD40"
Dnig.2LG0008130.1,6,FBpp0082643,cv-d,crossveinless d,XP_023710405.1,sp|P06125|VIT5_CAEEL,,,
Dnig.2LG0008140.1,2,FBpp0071083,CG10778,No description,XP_014473865.1,sp|Q86SQ9|DHDDS_HUMAN,"Adds multiple copies of isopentenyl pyrophosphate (IPP) to farnesyl pyrophosphate (FPP) to produce dehydrodolichyl diphosphate (Dedol-PP), a precursor of dolichol which is utilized as a sugar carrier in protein glycosylation in the endoplasmic reticulum (ER)",DHDDS,Prenyltransf
Dnig.2LG0008150.1,5,FBpp0081148,CG1965,No description,XP_023710444.1,sp|P58501|PAXB1_MOUSE,GC-rich sequence DNA-binding factor-like protein,PAXBP1,"GCFC,NTR2"
Dnig.2LG0008170.1,19,FBpp0291074,Inx2,Innexin 2,XP_023724869.1,sp|Q9XYN1|INX2_SCHAM,Structural component of the gap junctions,Inx2,Innexin
Dnig.2LG0008200.1,19,FBpp0070996,ogre,optic ganglion reduced,XP_023724868.1,sp|Q9XYN0|INX1_SCHAM,Structural component of the gap junctions,-,Innexin
Dnig.2LG0008210.1,4,,,,,,,,
Dnig.2LG0008230.1,6,,,,,,,,
Dnig.2LG0008300.1,7,FBpp0306701,bon,bonus,XP_023706519.1,sp|Q56R14|TRI33_XENLA,B-box zinc finger,TRIM24,"Bromodomain,PHD,zf-B_box,zf-RING_UBOX"
Dnig.2LG0008310.1,2,FBpp0084689,Noa36,Noa36,XP_044749078.1,sp|Q9VAU9|ZN330_DROME,Zinc ion binding,ZNF330,NOA36
Dnig.2LG0008320.1,8,FBpp0072361,gol,goliath,AGM32727.1,sp|Q06003|GOLI_DROME,RING-like zinc finger,RNF150,"PA,zf-RING_2"
Dnig.2LG0008330.1,7,FBpp0293343,msps,mini spindles,XP_023706453.1,sp|Q9VEZ3|MSPS_DROME,TOG,msps,"CLASP_N,HEAT"
Dnig.2LG0008360.1,13,FBpp0071217,l(1)G0020,lethal (1) G0020,XP_023706488.1,sp|Q9H0A0|NAT10_HUMAN,"RNA cytidine acetyltransferase with specificity toward both 18S rRNA and tRNAs. Catalyzes the formation of N(4)- acetylcytidine (ac4C) in 18S rRNA. Required for early nucleolar cleavages of precursor rRNA at sites A0, A1 and A2 during 18S rRNA synthesis. Catalyzes the formation of ac4C in serine and leucine tRNAs. Requires a tRNA-binding adapter protein for full tRNA acetyltransferase activity but not for 18S rRNA acetylation",NAT10,"DUF1726,GNAT_acetyltr_2,Helicase_RecD,tRNA_bind_2"
Dnig.2LG0008370.1,20,FBpp0080297,lace,lace,XP_023712852.2,sp|Q3B7D2|SPTC2_RAT,pyridoxal phosphate binding. It is involved in the biological process described with biosynthetic process,SPTLC2,Aminotran_1_2
Dnig.2LG0008390.1,3,,,,CAD7455447.1,sp|Q9JI85|NUCB2_RAT,Calcium ion binding,NUCB2,EF-hand_7
Dnig.2LG0008400.1,18,,,,GFG33158.1,,,,
Dnig.2LG0008410.1,8,FBpp0073860,Gmap,Golgi microtubule-associated protein,GFG33158.1,sp|Q15643|TRIPB_HUMAN,,,
Dnig.2LG0008540.1,18,FBpp0309148,p115,p115,CAD7428771.1,sp|Q9W3N6|USO1_DROME,protein transporter activity. It is involved in the biological process described with,USO1,"Uso1_p115_C,Uso1_p115_head"
Dnig.2LG0008550.1,14,FBpp0071254,Aladin,Aladin,XP_021920485.1,sp|Q9NRG9|AAAS_HUMAN,nuclear transport,AAAS,"ANAPC4_WD40,PD40,WD40"
Dnig.2LG0008560.1,11,FBpp0085317,Clamp,Chromatin-linked adaptor for MSL proteins,CAD7445371.1,sp|Q02525|ZFP39_MOUSE,,,
Dnig.2LG0008570.1,7,,,,KAF2902885.1,,,,
Dnig.2LG0008670.1,7,FBpp0088396,lola,longitudinals lacking,XP_008469685.1,sp|P42284|LOLA2_DROME,"Broad-Complex, Tramtrack and Bric a brac",-,"BTB,HTH_psq,zf-C2H2,zf-H2C2_5"
Dnig.2LG0008680.1,10,FBpp0088396,lola,longitudinals lacking,XP_008469685.1,sp|P18729|ZG57_XENLA,,,
Dnig.2LG0008710.1,7,,,,PSN32973.1,sp|Q8CIC2|NUP42_MOUSE,,,
Dnig.2LG0008740.1,13,,,,XP_023709769.1,sp|Q8K2G4|BBS7_MOUSE,Bardet-Biedl syndrome 7 protein,BBS7,-
Dnig.2LG0008750.1,2,FBpp0071849,CG17807,No description,XP_023709770.1,sp|A1A4L5|ALKB8_BOVIN,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors. It is involved in the biological process described with oxidation-reduction process",ALKBH8,"2OG-FeII_Oxy_2,DUF1891,Methyltransf_11,RRM_1"
Dnig.2LG0008780.1,6,FBpp0080554,cass,cassowary,GFG31201.1,sp|Q5R644|API5_PONAB,Apoptosis inhibitor,API5,API5
Dnig.2LG0008800.1,16,,,,KAH0814326.1,,,,
Dnig.2LG0008810.1,11,,,,PSN45190.1,,Domain of unknown function (DUF4817),-,-
Dnig.2LG0008820.1,17,FBpp0297244,Ten-m,Tenascin major,XP_033609259.1,sp|O61307|TENM_DROME,RHS Repeat,TENM2,"EGF_2,RHS_repeat,Ten_N,Tox-GHH"
Dnig.2LG0008880.1,4,,,,KAG7295231.1,sp|Q95SX7|RTBS_DROME,Reverse transcriptase (RNA-dependent DNA polymerase),-,RVT_1
Dnig.2LG0009010.1,18,FBpp0076412,mus301,mutagen-sensitive 301,XP_021924764.1,sp|Q2VPA6|HELQ_MOUSE,ATP binding,HELQ,"DEAD,HHH_5,Helicase_C"
Dnig.2LG0009020.1,15,,,,,,,,
Dnig.2LG0009090.1,12,,,,VEN35162.1,sp|Q9NBX4|RTXE_DROME,Reverse transcriptase (RNA-dependent DNA polymerase),-,RVT_1
Dnig.2LG0009200.1,10,FBpp0075169,GluRS-m,"Glutamyl-tRNA synthetase, mitochondrial",XP_044008799.1,sp|Q66JG3|SYEM_XENTR,Belongs to the class-I aminoacyl-tRNA synthetase family,EARS2,tRNA-synt_1c
Dnig.2LG0009230.1,11,,,,XP_015433590.1,sp|Q7JQ07|MOS1T_DROMA,Transposase (partial DDE domain),-,"DDE_3,HTH_Tnp_Tc3_2,Transposase_1"
Dnig.2LG0009250.1,11,,,,GFY08193.1,,,,
